# Generated by tools/schema_codegen.nim; do not edit by hand.
# source_commit	2c0a5ddffb9c9cf9b3a8826454758397a6b4804b
method	path	operation_id	request_schema	response_schema
DELETE	/lobbies/{lobby_id}/members/{user_id}	delete_lobby_member	-	-
POST	/lobbies/{lobby_id}/members/{user_id}/invites	create_linked_lobby_guild_invite_for_user	-	LobbyGuildInviteResponse
GET	/lobbies/{lobby_id}/messages	get_lobby_messages	-	seq[LobbyMessageResponse] | null
POST	/lobbies/{lobby_id}/messages	create_lobby_message	SDKMessageRequest	LobbyMessageResponse
PUT	/lobbies/{lobby_id}/messages/{message_id}/moderation-metadata	update_lobby_message_external_moderation_metadata	object	-
GET	/oauth2/@me	get_my_oauth2_authorization	-	OAuth2GetAuthorizationResponse
GET	/oauth2/applications/@me	get_my_oauth2_application	-	PrivateApplicationResponse
GET	/oauth2/keys	get_public_keys	-	OAuth2GetKeys
GET	/oauth2/userinfo	get_openid_connect_userinfo	-	OAuth2GetOpenIDConnectUserInfoResponse
PUT	/partner-sdk/dms/{user_id_1}/{user_id_2}/messages/{message_id}/moderation-metadata	update_user_message_external_moderation_metadata	object	-
POST	/partner-sdk/provisional-accounts/unmerge	partner_sdk_unmerge_provisional_account	object	-
POST	/partner-sdk/provisional-accounts/unmerge/bot	bot_partner_sdk_unmerge_provisional_account	object	-
POST	/partner-sdk/token	partner_sdk_token	object	ProvisionalTokenResponse
POST	/partner-sdk/token/bot	bot_partner_sdk_token	object	ProvisionalTokenResponse
GET	/skus/{sku_id}/subscriptions	get_sku_subscriptions	-	seq[SubscriptionResponse]
GET	/skus/{sku_id}/subscriptions/{subscription_id}	get_sku_subscription	-	SubscriptionResponse
GET	/soundboard-default-sounds	get_soundboard_default_sounds	-	seq[SoundboardSoundResponse]
POST	/stage-instances	create_stage_instance	object	StageInstanceResponse
GET	/stage-instances/{channel_id}	get_stage_instance	-	StageInstanceResponse
PATCH	/stage-instances/{channel_id}	update_stage_instance	object	StageInstanceResponse
DELETE	/stage-instances/{channel_id}	delete_stage_instance	-	-
GET	/sticker-packs	list_sticker_packs	-	StickerPackCollectionResponse
GET	/sticker-packs/{pack_id}	get_sticker_pack	-	StickerPackResponse
GET	/stickers/{sticker_id}	get_sticker	-	GuildStickerResponse | StandardStickerResponse
GET	/users/@me	get_my_user	-	UserPIIResponse
PATCH	/users/@me	update_my_user	BotAccountPatchRequest	UserPIIResponse
GET	/users/@me/applications/{application_id}/entitlements	get_current_user_application_entitlements	-	seq[EntitlementResponse]
GET	/users/@me/applications/{application_id}/role-connection	get_application_user_role_connection	-	ApplicationUserRoleConnectionResponse
PUT	/users/@me/applications/{application_id}/role-connection	update_application_user_role_connection	UpdateApplicationUserRoleConnectionRequest	ApplicationUserRoleConnectionResponse
DELETE	/users/@me/applications/{application_id}/role-connection	delete_application_user_role_connection	-	-
POST	/users/@me/channels	create_dm	CreatePrivateChannelRequest	PrivateChannelResponse | PrivateGroupChannelResponse
GET	/users/@me/connections	list_my_connections	-	seq[ConnectedAccountResponse] | null
GET	/users/@me/guilds	list_my_guilds	-	seq[MyGuildResponse] | null
DELETE	/users/@me/guilds/{guild_id}	leave_guild	-	-
GET	/users/@me/guilds/{guild_id}/member	get_my_guild_member	-	PrivateGuildMemberResponse
GET	/users/{user_id}	get_user	-	UserResponse
GET	/voice/regions	list_voice_regions	-	seq[VoiceRegionResponse] | null
GET	/webhooks/{webhook_id}	get_webhook	-	ApplicationIncomingWebhookResponse | ChannelFollowerWebhookResponse | GuildIncomingWebhookResponse
PATCH	/webhooks/{webhook_id}	update_webhook	object	ApplicationIncomingWebhookResponse | ChannelFollowerWebhookResponse | GuildIncomingWebhookResponse
DELETE	/webhooks/{webhook_id}	delete_webhook	-	-
GET	/webhooks/{webhook_id}/{webhook_token}	get_webhook_by_token	-	ApplicationIncomingWebhookResponse | ChannelFollowerWebhookResponse | GuildIncomingWebhookResponse
POST	/webhooks/{webhook_id}/{webhook_token}	execute_webhook	IncomingWebhookRequestPartial | IncomingWebhookUpdateRequestPartial	MessageResponse
PATCH	/webhooks/{webhook_id}/{webhook_token}	update_webhook_by_token	object	ApplicationIncomingWebhookResponse | ChannelFollowerWebhookResponse | GuildIncomingWebhookResponse
DELETE	/webhooks/{webhook_id}/{webhook_token}	delete_webhook_by_token	-	-
POST	/webhooks/{webhook_id}/{webhook_token}/github	execute_github_compatible_webhook	GithubWebhook	-
GET	/webhooks/{webhook_id}/{webhook_token}/messages/@original	get_original_webhook_message	-	MessageResponse
PATCH	/webhooks/{webhook_id}/{webhook_token}/messages/@original	update_original_webhook_message	IncomingWebhookUpdateRequestPartial	MessageResponse
DELETE	/webhooks/{webhook_id}/{webhook_token}/messages/@original	delete_original_webhook_message	-	-
GET	/webhooks/{webhook_id}/{webhook_token}/messages/{message_id}	get_webhook_message	-	MessageResponse
PATCH	/webhooks/{webhook_id}/{webhook_token}/messages/{message_id}	update_webhook_message	IncomingWebhookUpdateRequestPartial	MessageResponse
DELETE	/webhooks/{webhook_id}/{webhook_token}/messages/{message_id}	delete_webhook_message	-	-
POST	/webhooks/{webhook_id}/{webhook_token}/slack	execute_slack_compatible_webhook	SlackWebhook	string | null
